modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
cvae,0.5,45,3000,1500,0.14515141592735123,0.2968524597583865,0.5655193557135614,0.1828358208955224,0.3,0.16723549488054607,0.20164609053497942,0.29,1850,244,194,49,16
cvae,0.5,46,3000,1500,0.21961495326251465,0.27470321861095737,0.5497217210843445,0.19366852886405958,0.30204778156996587,0.12515042117930206,0.4279835390946502,0.4699999999999999,1367,727,139,104,13
cvae,1.0,42,3000,3000,0.26329731246530963,0.30157300824639743,0.5902274183341785,0.291970802919708,0.32667876588021777,0.35714285714285715,0.24691358024691357,0.59,1986,108,183,60,13
cvae,1.0,43,3000,3000,0.22020862331641602,0.31852191942840435,0.6095310528612025,0.2255125284738041,0.359612724757953,0.15590551181102363,0.4074074074074074,0.6399999999999999,1558,536,144,99,17
cvae,1.0,44,3000,3000,0.21754514292612065,0.3006499675721392,0.5367029451185241,0.21018062397372742,0.33559322033898303,0.17486338797814208,0.26337448559670784,0.7799999999999999,1792,302,179,64,15
cvae,1.0,45,3000,3000,0.18186129749204705,0.2679546823657125,0.6009606125280539,0.23605150214592274,0.28322440087145967,0.24663677130044842,0.22633744855967078,0.19999999999999996,1926,168,188,55,17
cvae,1.0,46,3000,3000,0.22776320610515324,0.31991130473043633,0.5670856572374136,0.19202898550724637,0.35174746335963925,0.12311265969802555,0.43621399176954734,0.71,1339,755,137,106,15
cvae,2.0,42,3000,6000,0.2893269891110244,0.2655437529463757,0.5746675785410795,0.24025289778714437,0.3017982799061767,0.16147308781869688,0.4691358024691358,0.61,1502,592,129,114,13
cvae,2.0,43,3000,6000,0.18262151294396195,0.30228348310305886,0.5765542152573884,0.2485207100591716,0.33634719710669075,0.23863636363636365,0.25925925925925924,0.72,1893,201,180,63,15
cvae,2.0,44,3000,6000,0.20742335360424102,0.27310435843148123,0.5243474398732809,0.2203913491246138,0.29093799682034976,0.14697802197802198,0.4403292181069959,0.62,1473,621,136,107,13
cvae,2.0,45,3000,6000,0.20976364702339087,0.3047255267720718,0.5317858981766442,0.20803782505910165,0.33070866141732286,0.24444444444444444,0.18106995884773663,0.6799999999999999,1958,136,199,44,14
cvae,2.0,46,3000,6000,0.20684472199979748,0.29538174637325726,0.5302923107762331,0.18289085545722714,0.3171247357293869,0.3229166666666667,0.12757201646090535,0.6599999999999999,2029,65,212,31,13
cvae,4.0,42,3000,12000,0.17955459841433197,0.24301389927957157,0.5112746196265245,0.1909196740395809,0.2625482625482625,0.1331168831168831,0.3374485596707819,0.5499999999999999,1560,534,161,82,13
cvae,4.0,43,3000,12000,0.30893399030078106,0.31687628647820765,0.5821885772007814,0.24411134903640258,0.3496199782844734,0.1649782923299566,0.4691358024691358,0.7899999999999999,1517,577,129,114,13
cvae,4.0,44,3000,12000,0.18793363825119552,0.29223978745587836,0.5104865557481497,0.18811881188118812,0.31153846153846154,0.2360248447204969,0.15637860082304528,0.74,1971,123,205,38,13
cvae,4.0,45,3000,12000,0.19706594429053131,0.2592781506811224,0.49049999803475347,0.15600624024961,0.275,0.12562814070351758,0.205761316872428,0.49999999999999994,1746,348,193,50,13
cvae,4.0,46,3000,12000,0.16189873817143202,0.2263389028738573,0.545302864150365,0.19919517102615694,0.2528977871443625,0.1318242343541944,0.4074074074074074,0.26999999999999996,1442,652,144,99,16
