modelo,ratio,semilla,n_reales,n_sinteticos,pr_auc,pr_auc_val,roc_auc,f1,f1_val,precision,recall,umbral,vn,fp,fn,vp,epochs
ruido,2.0,42,3000,6000,0.25796570517831785,0.2563413136925492,0.5994748861139607,0.24259520451339917,0.2719298245614035,0.18454935622317598,0.35390946502057613,0.09999999999999999,1714,380,157,86,14
ruido,2.0,43,3000,6000,0.2578992626768596,0.3194167402498561,0.5892438124211444,0.25787965616045844,0.3648068669527897,0.1978021978021978,0.37037037037037035,0.05,1729,365,153,90,18
ruido,2.0,44,3000,6000,0.086387375201194,0.2771641500213538,0.41967447655657353,0.06100217864923747,0.27296587926509186,0.06481481481481481,0.05761316872427984,0.05,1892,202,229,14,15
ruido,2.0,45,3000,6000,0.12961090310712142,0.30344600899395896,0.5517488729310867,0.14463840399002495,0.21971830985915494,0.18354430379746836,0.11934156378600823,0.05,1965,129,214,29,16
ruido,2.0,46,3000,6000,0.1686108828431864,0.3364282792614534,0.5677047099099524,0.1905781584582441,0.42375601926163725,0.1287988422575977,0.3662551440329218,0.32999999999999996,1492,602,154,89,13
ruido,4.0,42,3000,12000,0.15306217232182534,0.26377993885884554,0.5762279843251934,0.2140221402214022,0.26929982046678635,0.15263157894736842,0.35802469135802467,0.05,1611,483,156,87,14
ruido,4.0,43,3000,12000,0.11757644908915935,0.2904886764528497,0.536710806104842,0.21105527638190955,0.29959514170040485,0.13962765957446807,0.43209876543209874,0.13,1447,647,138,105,13
ruido,4.0,44,3000,12000,0.1393736011081847,0.23847292403832027,0.5068803282747886,0.11990407673860912,0.21727019498607242,0.14367816091954022,0.102880658436214,0.05,1945,149,218,25,17
ruido,4.0,45,3000,12000,0.1321823258131119,0.3111096755905972,0.5607339802925073,0.18382352941176472,0.3248259860788863,0.16611295681063123,0.205761316872428,0.09,1843,251,193,50,14
ruido,4.0,46,3000,12000,0.14791846303286013,0.2783835603044672,0.5687305686244453,0.1877094972067039,0.33204633204633205,0.12883435582822086,0.345679012345679,0.14999999999999997,1526,568,159,84,13
