Date,AEP,BA,CAT,CNP,CVX,DIS,DTE,ED,GD,GE,HON,HPQ,IBM,IP,JNJ,KO,KR,MMM,MO,MRK,MSI,PG,XOM
1991-10-21,5.815550804138184,13.92030429840088,2.739781618118286,2.6536288261413574,5.20539140701294,6.993349075317383,5.352696895599365,4.709733486175537,2.109118700027466,12.680627822875977,4.629424095153809,1.1211566925048828,10.34900951385498,11.270952224731444,4.812315464019775,3.3941810131073,1.611376404762268,7.135746955871582,0.81667160987854,6.692214012145996,12.319091796875,4.375114440917969,4.8819756507873535
1991-10-22,5.815550804138184,13.780757904052734,2.7467877864837646,2.6366188526153564,5.179876804351807,7.052489280700684,5.331785678863525,4.6870856285095215,2.098573923110962,12.702943801879885,4.643669605255127,1.1295645236968994,10.168354988098145,11.440017700195312,5.049209117889404,3.374016761779785,1.5356745719909668,7.078354358673096,0.7896385192871094,6.641322135925293,12.56548309326172,4.282168388366699,4.872013092041016
1991-10-23,5.815550804138184,13.815643310546877,2.7327747344970703,2.6366188526153564,5.111831665039063,7.089451313018799,5.352696895599365,4.6870856285095215,2.0511181354522705,12.859213829040527,4.643669605255127,1.1351701021194458,10.168354988098145,11.440017700195312,5.103354454040527,3.387459516525269,1.5356745719909668,6.992265224456787,0.7839480638504028,6.736743450164795,12.614753723144531,4.282168388366699,4.852085113525391
1991-10-24,5.792102813720703,13.745866775512695,2.6907315254211426,2.6366188526153564,5.0693039894104,7.008134365081787,5.373603820800781,4.641805648803711,2.030027151107788,12.702943801879885,4.558202743530273,1.1435788869857788,10.14254379272461,11.139461517333984,5.028902530670166,3.374016761779785,1.5356745719909668,6.867918491363525,0.7910616397857666,6.743110656738281,12.44228744506836,4.248971939086914,4.822195529937744
1991-10-25,5.815550804138184,13.571423530578612,2.662701368331909,2.6366188526153564,5.001262187957764,6.95638370513916,5.394514560699463,4.641805648803711,2.0194802284240723,12.345751762390137,4.572447299957275,1.12676203250885,10.116737365722656,11.19581127166748,5.028902530670166,3.407622814178467,1.52485990524292,6.867918491363525,0.796752393245697,6.654050350189209,12.319091796875,4.3352813720703125,4.832159042358398
1991-10-28,5.885901927947998,13.780757904052734,2.6907315254211426,2.6536288261413574,5.094821453094482,7.015527248382568,5.478148937225342,4.664445400238037,2.077481985092163,12.546674728393556,4.558202743530273,1.12676203250885,10.14254379272461,11.270952224731444,5.116889953613281,3.4882771968841557,1.5573034286499023,7.011398315429688,0.7924839854240417,6.832168102264404,12.29446029663086,4.414947032928467,4.921827793121338
1991-10-29,5.932801723480225,13.8505277633667,2.669708728790283,2.662135124206543,5.111831665039063,7.141199111938477,5.4363322257995605,4.641805648803711,2.1460278034210205,12.658297538757324,4.700645923614502,1.1463817358016968,10.207059860229492,11.32730770111084,5.150730609893799,3.5286035537719727,1.5897469520568848,7.011398315429688,0.7896385192871094,6.787636280059815,12.417649269104004,4.474700927734375,4.911867141723633
1991-10-30,5.932801723480225,13.676087379455566,2.676716089248657,2.6876511573791504,5.103329181671143,7.082060813903809,5.457240104675293,4.6870856285095215,2.1618454456329346,12.524351119995115,4.700645923614502,1.151988506317139,10.34900951385498,11.533939361572266,5.157502174377441,3.595815658569336,1.578932762145996,6.982697010040283,0.7910616397857666,6.774914741516113,12.466923713684082,4.441503524780273,4.872013092041016
1991-10-31,5.909347534179688,13.745866775512695,2.6907315254211426,2.6536288261413574,5.086314678192139,7.02292013168335,5.4363322257995605,4.664445400238037,2.19875717163086,12.323418617248535,4.729132652282715,1.1295645236968994,10.14254379272461,11.421235084533691,5.150730609893799,3.5823729038238525,1.5573034286499023,6.963570594787598,0.7981751561164856,6.984837532043457,12.393014907836914,4.441503524780273,4.862049102783203
1991-11-01,5.932801723480225,13.8505277633667,2.648688316345215,2.662135124206543,5.026773929595947,7.119019985198975,5.478148937225342,4.641805648803711,2.177664279937744,12.211803436279297,4.672158718109131,1.1211566925048828,10.155451774597168,11.36488151550293,5.16426944732666,3.555487871170044,1.5356745719909668,6.992265224456787,0.7882158756256104,6.933948040008545,12.195905685424805,4.428226947784424,4.822195529937744
1991-11-04,5.856306552886963,13.780757904052734,2.7187588214874268,2.6451237201690674,5.120335102081299,7.000741958618164,5.457240104675293,4.641805648803711,2.2145745754241943,12.23411750793457,4.643669605255127,1.1211566925048828,10.138200759887695,11.19581127166748,5.231951713562012,3.542046546936035,1.5356745719909668,6.90617561340332,0.7811024785041809,6.972116470336914,12.023438453674316,4.408308506011963,4.911867141723633
1991-11-05,5.784599781036377,13.780757904052734,2.704745292663574,2.662135124206543,5.048099517822266,6.727216720581055,5.373603820800781,4.641805648803711,2.188210248947144,12.144821166992188,4.686402320861816,1.0903241634368896,10.09901237487793,11.36488151550293,5.211649417877197,3.5151631832122803,1.52485990524292,6.867918491363525,0.7811024785041809,7.023007869720459,11.826329231262209,4.421587467193604,4.895344734191895
1991-11-06,5.880212306976318,13.780757904052734,2.697737216949463,2.679145812988281,5.073897361755371,6.682862758636475,5.4363322257995605,4.658407688140869,2.225120782852173,12.23411750793457,4.786111831665039,1.09873366355896,10.09901237487793,11.270952224731444,5.191342830657959,3.5286035537719727,1.52485990524292,6.887044906616211,0.7839480638504028,6.991202831268311,11.87561321258545,4.434865474700928,4.925564765930176
